S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Supplier Name,Category,Sales Rank
1,5147,AQUAFINA WATER BOTTLE-1KLR,3717.0,37170.0,1304.69,3.51,ESWARI ENTERPRISES,Beverages - Water,1
2,7725,SUGAR MG-1KGS,3136.0,150168.2,11899.24,7.92,BAJAR ITEM,Staples - Sugar & Salt,2
3,63195,VIM BAR 155GM,2162.0,20755.2,1026.56,4.95,AMMAN ENTERPRISE,Others,3
4,63395,VIM BAR 5RS-70GMS,2010.0,9700.4,494.6,5.1,AMMAN ENTERPRISE,Others,4
5,415,ORID DHALL 1KG MG,2005.0,296940.5,67224.07,22.64,BAJAR ITEM,Others,5
6,38616,CUP SAMBIRANI,1964.0,9820.0,4877.99,49.67,DANUSH AGENCIES,Household - Paper,6
7,62471,NESCAFE SUNRISE 5,1927.0,9249.6,790.07,8.54,SRI JAYALAKSHMI ENTERPRISE,Others,7
8,25332,GOLD WINNER 1L,1819.0,268484.2,7420.4,2.76,AMMA BAZAAR,Others,8
9,65730,DAIRY MILK NEW CHO-5RS,1807.0,8673.6,469.82,5.42,SAKTHI AGENCIES MT,Dairy - Milk,9
10,12360,JEERAGAM 100G MG,1795.0,78144.5,20764.1,26.57,BAJAR ITEM,Others,10
11,7666,A4 SHEET SINGAL,1724.0,1724.0,862.0,50.0,MURUGAN STORES,Others,11
12,12476,FRIED GRAM MG-200GMS,1631.0,47299.0,13733.02,29.03,BAJAR ITEM,Others,12
13,47170,TOOR DHALL 1KG,1600.0,232845.0,49478.25,21.25,BAJAR ITEM,Others,13
14,3221,NAGA RAVA-500KGS,1544.0,74112.0,15440.0,20.83,J.S.AGECIES,Others,14
15,59712,AASHIRVAAD SUPERIOR ATTA 1KG-1KGS,1519.0,103270.0,8380.35,8.11,NANDHINI TRADE,Staples - Grains,15
16,958,UDHAIYAM ORID DHALL-1KGS,1470.0,206505.0,22891.57,11.09,SHRI LAKSHMI AGRO FOODS Pvt Ltd,Others,16
17,12757,LONG CHILLY 200G MG,1423.0,61646.0,16857.2,27.35,BAJAR ITEM,Others,17
18,12577,VENTHAYAM 100G MG,1359.0,22423.5,9866.34,44.0,BAJAR ITEM,Others,18
19,65369,DAIRY MILK NEW 11GM-10RS,1339.0,12854.4,682.89,5.31,SAKTHI AGENCIES MT,Dairy - Milk,19
20,12495,NATTU SAKKARAI-500G MG,1270.0,45720.0,11049.0,24.17,BAJAR ITEM,Others,20
21,12251,PEPPER SEED 100G MG,1239.0,147441.0,36860.25,25.0,BAJAR ITEM,Spices,21
22,17215,NATHANS BUTTER BISCUIT,1205.0,52658.5,11688.5,22.2,JOYS FOODS,Snacks - Biscuits & Cookies,22
23,12579,MUSTARD SMALL 100G MG,1184.0,18707.2,6914.56,36.96,BAJAR ITEM,Staples - Oils,23
24,63940,BRU INSTAND NEW-10RS,1151.0,11164.7,1127.98,10.1,AMMAN ENTERPRISE,Others,24
25,426,MOONG DHALL -500GMS,1143.0,88011.0,20802.6,23.64,BAJAR ITEM,Staples - Pulses,25
26,65076,VIM ANTI SMELL BAR-10RS,1124.0,10790.4,794.99,7.37,AMMAN ENTERPRISE,Others,26
27,950,FORTUNE SUNFLOWER REFINED OIL-1KLR,1090.0,158828.0,5263.5,3.31,T.J.MARKETING,Staples - Oils,27
28,65731,MUNCH 15 EXT NEW-5RS,1090.0,5232.0,531.25,10.15,SRI JAYALAKSHMI ENTERPRISE,Others,28
29,12097,GREEN MOONG DHALL 500GM,1089.0,86031.0,21997.8,25.57,BAJAR ITEM,Staples - Pulses,29
30,2658,ANIL ROASTED SEMIA-180GRS,1076.0,23672.0,5261.64,22.23,MM ENTERPRISES,Others,30
31,3473,TATA SALT-1KGS,1055.0,30384.0,3624.08,11.93,SRI SAKTHI AGENCIES,Staples - Sugar & Salt,31
32,63387,ELC CO BROWNIE,1041.0,20403.6,4788.6,23.47,ALANA TRADERS,Others,32
33,2660,ANIL RAGI SEMIA-180GRS,1036.0,27847.68,6164.2,22.14,MM ENTERPRISES,Others,33
34,12623,IDLY RICE 1KG,1036.0,50764.0,10515.4,20.71,BAJAR ITEM,Staples - Grains,34
35,59448,FLAIR -02 BALLPEN-10RS,1027.0,9243.0,1540.5,16.67,A.S AGENCIES,Stationery,35
36,66318,CADBURY FIVE STAR RS 5,1002.0,4809.6,260.52,5.42,SAKTHI AGENCIES MT,Others,36
37,12457,PAKU VELLAM 1KG,997.56,83794.91,16624.18,19.84,BAJAR ITEM,Others,37
38,12242,GRAM DHALL 500G,990.0,57420.0,15325.36,26.69,BAJAR ITEM,Others,38
39,62960,SUNRISE RS .10 NEW,974.0,9519.2,523.36,5.5,SRI JAYALAKSHMI ENTERPRISE,Others,39
40,12313,RAW GROUNDNUT 500G MG,974.0,87416.5,26054.5,29.81,BAJAR ITEM,Staples - Oils,40
41,3260,UDHAIYAM TOOR DHALL-1KGS,947.0,136241.1,14856.9,10.9,SHRI LAKSHMI AGRO FOODS Pvt Ltd,Others,41
42,36868,MAGGI MASALA,944.0,4531.2,368.16,8.12,GURU MARKETING,Spices,42
43,12567,SOMBU 100GM MG,934.0,32223.0,14570.4,45.22,BAJAR ITEM,Others,43
44,45357,SCOTCH BRITE CHAKRA,923.0,17537.0,2639.78,15.05,INDRA AGENCIES,Others,44
45,66180,CADBURY FIVE STAR RS-10,911.0,8745.6,464.61,5.31,SAKTHI AGENCIES MT,Others,45
46,40047,ROLL O MEDIUM GARBAGE BAGES,884.0,60102.0,20362.32,33.88,SR ENTERPRISES,Bakery,46
47,12559,BIG MUSTARD 100G,852.0,13461.6,4975.68,36.96,BAJAR ITEM,Staples - Oils,47
48,2364,AASHIRVAAD CRYSTAL SALT 1 KG,850.0,16575.0,3825.0,23.08,BAJAR ITEM,Staples - Sugar & Salt,48
49,55609,EVEREADY AA BATTERY,816.0,13219.2,3590.4,27.16,SRI MAHALAKSHMI TRADERS,Electronics - Small,49
50,15264,SUMANGALI SET RS 10,810.0,4997.0,2566.37,51.36,RSM POOJA ITEMS,Others,50
51,12461,FRIED GRAM MG-500GMS,787.0,56664.0,16172.85,28.54,BAJAR ITEM,Others,51
52,47181,MAAZA NEW-150MLT,787.0,7207.8,1116.8,15.49,AKS GENERAL STORES,Others,52
53,12512,WHITE CHANNA-500G,782.0,66470.0,15139.52,22.78,BAJAR ITEM,Others,53
54,66758,AAVIN MILK BISCUITS,775.0,7440.0,465.0,6.25,GK DAIRY MARKETING SERVICES,Snacks - Biscuits & Cookies,54
55,59923,EVEREADY AAA 1012-1UNT,771.0,12490.2,3392.4,27.16,SRI MAHALAKSHMI TRADERS,Others,55
