Product Name,Supplier Name
AQUAFINA WATER BOTTLE-1KLR,ESWARI ENTERPRISES
SUGAR MG-1KGS,BAJAR ITEM
VIM BAR 155GM,AMMAN ENTERPRISE
VIM BAR 5RS-70GMS,AMMAN ENTERPRISE
ORID DHALL 1KG MG,BAJAR ITEM
CUP SAMBIRANI,DANUSH AGENCIES
NESCAFE SUNRISE 5,SRI JAYALAKSHMI ENTERPRISE
GOLD WINNER 1L,AMMA BAZAAR
DAIRY MILK NEW CHO-5RS,SAKTHI AGENCIES MT
JEERAGAM 100G MG,BAJAR ITEM
A4 SHEET SINGAL,MURUGAN STORES
FRIED GRAM MG-200GMS,BAJAR ITEM
TOOR DHALL 1KG,BAJAR ITEM
NAGA RAVA-500KGS,J.S.AGECIES
AASHIRVAAD SUPERIOR ATTA 1KG-1KGS,NANDHINI TRADE
UDHAIYAM ORID DHALL-1KGS,SHRI LAKSHMI AGRO FOODS Pvt Ltd
LONG CHILLY 200G MG,BAJAR ITEM
VENTHAYAM 100G MG,BAJAR ITEM
DAIRY MILK NEW 11GM-10RS,SAKTHI AGENCIES MT
NATTU SAKKARAI-500G MG,BAJAR ITEM
PEPPER SEED 100G MG,BAJAR ITEM
NATHANS BUTTER BISCUIT,JOYS FOODS
MUSTARD SMALL 100G MG,BAJAR ITEM
BRU INSTAND NEW-10RS,AMMAN ENTERPRISE
MOONG DHALL -500GMS,BAJAR ITEM
VIM ANTI SMELL BAR-10RS,AMMAN ENTERPRISE
FORTUNE SUNFLOWER REFINED OIL-1KLR,T.J.MARKETING
MUNCH 15 EXT NEW-5RS,SRI JAYALAKSHMI ENTERPRISE
GREEN MOONG DHALL 500GM,BAJAR ITEM
ANIL ROASTED SEMIA-180GRS,MM ENTERPRISES
TATA SALT-1KGS,SRI SAKTHI AGENCIES
ELC CO BROWNIE,ALANA TRADERS
ANIL RAGI SEMIA-180GRS,MM ENTERPRISES
IDLY RICE 1KG,BAJAR ITEM
FLAIR -02 BALLPEN-10RS,A.S AGENCIES
CADBURY FIVE STAR RS 5,SAKTHI AGENCIES MT
PAKU VELLAM 1KG,BAJAR ITEM
GRAM DHALL 500G,BAJAR ITEM
SUNRISE RS .10 NEW,SRI JAYALAKSHMI ENTERPRISE
RAW GROUNDNUT 500G MG,BAJAR ITEM
UDHAIYAM TOOR DHALL-1KGS,SHRI LAKSHMI AGRO FOODS Pvt Ltd
MAGGI MASALA,GURU MARKETING
SOMBU 100GM MG,BAJAR ITEM
SCOTCH BRITE CHAKRA,INDRA AGENCIES
