Date:08/23/25,,MURUGAN STORES WHOLESALE SUPERMARKET,,,,,
Fast-moving Stock Report from 08/23/24 to 08/23/25,,,,,,,
S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Vendor Name
1,5147,AQUAFINA WATER BOTTLE-1KLR,3717,37170.00,1304.69,3.51,ESWARI ENTERPRISES
2,7725,SUGAR MG-1KGS,3136,150168.20,11899.24,7.92,BAJAR ITEM
3,63195,VIM BAR 155GM,2162,20755.20,1026.56,4.95,AMMAN ENTERPRISE
4,63395,VIM BAR 5RS-70GMS,2010,9700.40,494.60,5.10,AMMAN ENTERPRISE
5,415,ORID DHALL 1KG MG,2005,296940.50,67224.07,22.64,BAJAR ITEM
6,38616,CUP  SAMBIRANI,1964,9820.00,4877.99,49.67,DANUSH AGENCIES
7,62471,NESCAFE SUNRISE 5,1927,9249.60,790.07,8.54,SRI JAYALAKSHMI ENTERPRISE
8,25332,GOLD WINNER 1L,1819,268484.20,7420.40,2.76,AMMA BAZAAR
9,65730,DAIRY MILK NEW CHO-5RS,1807,8673.60,469.82,5.42,SAKTHI AGENCIES MT
10,12360,JEERAGAM 100G MG,1795,78144.50,20764.10,26.57,BAJAR ITEM
11,7666,A4 SHEET SINGAL,1724,1724.00,862.00,50.00,MURUGAN STORES
12,12476,FRIED GRAM MG-200GMS,1631,47299.00,13733.02,29.03,BAJAR ITEM
13,47170,TOOR DHALL 1KG,1600,232845.00,49478.25,21.25,BAJAR ITEM
14,3221,NAGA RAVA-500KGS,1544,74112.00,15440.00,20.83,J.S.AGECIES
15,59712,AASHIRVAAD SUPERIOR ATTA  1KG-1KGS,1519,103270.00,8380.35,8.11,NANDHINI TRADE
16,958,UDHAIYAM ORID DHALL-1KGS,1470,206505.00,22891.57,11.09,SHRI LAKSHMI AGRO FOODS PVT LTD
17,12757,LONG CHILLY 200G MG,1423,61646.00,16857.20,27.35,BAJAR ITEM
18,12577,VENTHAYAM 100G MG,1359,22423.50,9866.34,44.00,BAJAR ITEM
19,65369,DAIRY MILK NEW 11GM-10RS,1339,12854.40,682.89,5.31,SAKTHI AGENCIES MT
20,12495,NATTU SAKKARAI-500G MG,1270,45720.00,11049.00,24.17,BAJAR ITEM
21,12251,PEPPER SEED 100G MG,1239,147441.00,36860.25,25.00,BAJAR ITEM
22,17215,NATHANS BUTTER BISCUIT,1205,52658.50,11688.50,22.20,JOYS FOODS
23,12579,MUSTARD SMALL 100G MG,1184,18707.20,6914.56,36.96,BAJAR ITEM
24,63940,BRU INSTAND NEW-10RS,1151,11164.70,1127.98,10.10,AMMAN ENTERPRISE
25,426,MOONG DHALL -500GMS,1143,88011.00,20802.60,23.64,BAJAR ITEM
26,65076,VIM ANTI SMELL BAR-10RS,1124,10790.40,794.99,7.37,AMMAN ENTERPRISE
27,950,FORTUNE SUNFLOWER REFINED OIL-1KLR,1090,158828.00,5263.50,3.31,T.J.MARKETING
28,65731,MUNCH 15% EXT NEW-5RS,1090,5232.00,531.25,10.15,SRI JAYALAKSHMI ENTERPRISE
29,12097,GREEN MOONG DHALL 500GM,1089,86031.00,21997.80,25.57,BAJAR ITEM
30,2658,ANIL ROASTED SEMIA-180GRS,1076,23672.00,5261.64,22.23,MM ENTERPRISES
31,3473,TATA SALT-1KGS,1055,30384.00,3624.08,11.93,SRI SAKTHI AGENCIES
32,63387,ELC CO BROWNIE,1041,20403.60,4788.60,23.47,ALANA TRADERS
33,2660,ANIL RAGI SEMIA-180GRS,1036,27847.68,6164.20,22.14,MM ENTERPRISES
34,12623,IDLY RICE 1KG,1036,50764.00,10515.40,20.71,BAJAR ITEM
35,59448,FLAIR -02 BALLPEN-10RS,1027,9243.00,1540.50,16.67,A.S AGENCIES
36,66318,CADBURY FIVE STAR RS 5,1002,4809.60,260.52,5.42,SAKTHI AGENCIES MT
37,12457,PAKU VELLAM 1KG,997.5579834,83794.91,16624.18,19.84,BAJAR ITEM
38,12242,GRAM DHALL 500G,990,57420.00,15325.36,26.69,BAJAR ITEM
39,62960,SUNRISE RS .10 NEW,974,9519.20,523.36,5.50,SRI JAYALAKSHMI ENTERPRISE
40,12313,RAW GROUNDNUT 500G MG,974,87416.50,26054.50,29.81,BAJAR ITEM
41,3260,UDHAIYAM TOOR DHALL-1KGS,947,136241.10,14856.90,10.90,SHRI LAKSHMI AGRO FOODS PVT LTD
42,36868,MAGGI MASALA,944,4531.20,368.16,8.12,GURU MARKETING
43,12567,SOMBU 100GM MG,934,32223.00,14570.40,45.22,BAJAR ITEM
44,45357,SCOTCH BRITE CHAKRA,923,17537.00,2639.78,15.05,INDRA AGENCIES
45,66180,CADBURY FIVE STAR RS-10,911,8745.60,464.61,5.31,SAKTHI AGENCIES MT
46,40047,ROLL O MEDIUM GARBAGE BAGES,884,60102.00,20362.32,33.88,SR ENTERPRISES
47,12559,BIG MUSTARD 100G,852,13461.60,4975.68,36.96,BAJAR ITEM
48,2364,AASHIRVAAD CRYSTAL SALT 1 KG,850,16575.00,3825.00,23.08,BAJAR ITEM
49,55609,EVEREADY AA BATTERY,816,13219.20,3590.40,27.16,SRI MAHALAKSHMI TRADERS
50,15264,SUMANGALI SET RS 10,810,4997.00,2566.37,51.36,RSM POOJA ITEMS
51,12461,FRIED GRAM MG-500GMS,787,56664.00,16172.85,28.54,BAJAR ITEM
52,47181,MAAZA NEW-150MLT,787,7207.80,1116.80,15.49,AKS GENERAL STORES
53,12512,WHITE CHANNA-500G,782,66470.00,15139.52,22.78,BAJAR ITEM
54,66758,AAVIN MILK BISCUITS,775,7440.00,465.00,6.25,GK DAIRY MARKETING SERVICES
55,59923,EVEREADY AAA 1012-1UNT,771,12490.20,3392.40,27.16,SRI MAHALAKSHMI TRADERS
56,48209,RIN BAR RS.10 -145G,770,7380.94,362.84,4.92,AMMAN ENTERPRISE
57,12307,BLACK CHANNA 500G MG,763,51426.50,14507.45,28.21,BAJAR ITEM
58,12648,FRIED GROUNDNUT 200G MG,763,32046.00,9613.80,30.00,BAJAR ITEM
59,12632,IDLY RICE 5KG MG,719,176155.00,36489.25,20.71,BAJAR ITEM
60,12669,WHITE CHANNA 200G MG,711,25596.00,6932.25,27.08,BAJAR ITEM
